bamorder	seq_id	seq_key	ID	Site	habitat	Description	Site.class	Agric_eco.activity	Insecticide	Lat	long	Form	species	Ace.1	Duplitype	Ace.A	Ace.1B	Fam	Hex	FAM.HEX	X	VSGC	kdr_A	kdr_B	NY_Gene	bamid	phaseid
89	191-DW-Kom6	Kom6	Kom6	Komenda	mangrove_swamp	Gutter	Small urban	Fishing	1	5.0557	1.4944	M	An. gambiae	GG		100	100	22.786	1671.042	0.013635803		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/191-DW-Kom6.srt.dp.rg.bam	ind89
90	DW-Asi3	Asi3	Asi3	Asikumah	deciduous_forest	Mixed	Small urban	Gardening	2	5.58017	0.9961	S	An. gambiae	GG		100	100	19.276	1509.613	0.012768835		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Asi3.srt.dp.rg.bam	ind90
91	95-DW-Kom13	Kom13	Kom13	Komenda	mangrove_swamp	Gutter	Small urban	Fishing	1	5.0557	1.4944	M	An. gambiae	GG		100	100	21.4	1698.952	0.012596		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/95-DW-Kom13.srt.dp.rg.bam	ind91
92	177-DW-NeA-20	NeA.20	NeA.20	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	M	An. gambiae	GG	N	NA	NA	275.066	3203.738	0.085857832		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/177-DW-NeA-20.srt.dp.rg.bam	ind92
93	176-DW-NeA-17	NeA.17	NeA.17	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	M	An. gambiae	GS	D	NA	NA	5016.175	2076.069	2.416188961		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/176-DW-NeA-17.srt.dp.rg.bam	ind93
94	62-DW-WE28	WE28	WE28	Wassa Essaman	rainforest	Roadside	Rural	Gardening	5	5.350084	1.678	M	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/62-DW-WE28.srt.dp.rg.bam	ind94
95	79-DW-Mad64	Mad64	Mad64	Madina	coastal_savannah	Roadside	Urban	Gardening	16	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/79-DW-Mad64.srt.dp.rg.bam	ind95
96	171-DW-DoM-56	DoM.56	DoM.56	Bantama-Kumasi	deciduous_forest	Puddle			NA	6.4615	-1.8929	M	An. gambiae	GG	N	NA	NA	163.904	2904.581	0.056429482		LF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/171-DW-DoM-56.srt.dp.rg.bam	ind96
97	DW-Kof21	Kof21	Kof21	Koforidua	deciduous_forest	Roadside	Urban	Gardening	2	6.15469	0.27029	S	An. gambiae	GG		100	100	23.188	2184.261	0.010615947		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Kof21.srt.dp.rg.bam	ind97
98	47-DW-TP11	TP11	TP11	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	22.678	1725	0.013146667		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/47-DW-TP11.srt.dp.rg.bam	ind98
99	11-DW-Tar6	Tar6	Tar6	Tarkwa	rainforest	Gutter	Urban	Commercial mining	1	5.31382	1.99232	M	An. gambiae	GG		100	100	29.701	1977.141	0.015022196		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/11-DW-Tar6.srt.dp.rg.bam	ind99
100	169-DW-DoM-54	DoM.54	DoM.54	Bantama-Kumasi	deciduous_forest	Puddle			NA	6.4615	-1.8929	M	An. gambiae	GG	N	NA	NA	217.12	3000.395	0.072363805		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/169-DW-DoM-54.srt.dp.rg.bam	ind100
101	DW-Nsa12	Nsa12	Nsa12	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GS		100	200	741.954	860.327	0.862409293		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa12.srt.dp.rg.bam	ind101
102	DW-Dzo6	Dzo6	Dzo6	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	S	An. gambiae	GS		100	200	956.932	358.987	2.665645274		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo6.srt.dp.rg.bam	ind102
103	102-DW-OBP1-6	OBP06	OBP06	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	7849.227	36.65	214.167176		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/102-DW-OBP1-6.srt.dp.rg.bam	ind103
104	41-DW-TP4	TP4	TP4	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	20.384	1832.089	0.011126097		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/41-DW-TP4.srt.dp.rg.bam	ind104
105	164-DW-DoM-49	DoM.49	DoM.49	Bantama-Kumasi	deciduous_forest	Puddle			NA	6.4615	-1.8929	M	An. gambiae	GG	N	NA	NA	193.259	2936.053	0.065822722		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/164-DW-DoM-49.srt.dp.rg.bam	ind105
106	DW-Nsa11	Nsa11	Nsa11	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	S	An. gambiae	GS		100	200	710.054	915.204	0.775842326		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa11.srt.dp.rg.bam	ind106
107	66-DW-Mad50	Mad50	Mad50	Madina	coastal_savannah	Roadside	Urban	Gardening	4	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/66-DW-Mad50.srt.dp.rg.bam	ind107
108	135-DW-NeA-79	NeA.79	NeA.79	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	M	An. gambiae	GG	N	NA	NA	274.869	3160.4	0.086972852		LF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/135-DW-NeA-79.srt.dp.rg.bam	ind108
109	40-DW-Tub17	Tub17	Tub17	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	S	An. gambiae	GS		100	200	971.099	1061.325	0.914987398		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/40-DW-Tub17.srt.dp.rg.bam	ind109
110	157-DW-DoM-2	DoM.2	DoM.2	Anhiankwanta	deciduous_forest	Gutter			NA	5.9569	-1.7777	M	An. gambiae	GG	N	NA	NA	225.244	2959.733	0.076102811		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/157-DW-DoM-2.srt.dp.rg.bam	ind110
111	145-DW-NeA-54	NeA.54	NeA.54	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	S	An. gambiae	GS	D	NA	NA	8782.836	1285.802	6.830628666		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/145-DW-NeA-54.srt.dp.rg.bam	ind111
112	DW-Dzo4	Dzo4	Dzo4	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	M	An. gambiae	GG		100	100	43.498	2109.653	0.020618557		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo4.srt.dp.rg.bam	ind112
113	123-DW-AnB-8	AnB.8	AnB.8	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	M	An. gambiae	GG	N	NA	NA	144.62	2451.574	0.058990673		LF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/123-DW-AnB-8.srt.dp.rg.bam	ind113
114	143-DW-NeA-52	NeA.52	NeA.52	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	S	An. gambiae	GS	D	NA	NA	8324.664	1341.012	6.207747582		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/143-DW-NeA-52.srt.dp.rg.bam	ind114
115	DW-AF4	AF4	AF4	Assin Foso	deciduous_forest	Gutter	Small urban	Gardening	2	5.6936	1.2733	S	An. gambiae	GG		100	100	28.017	1797.655	0.015585304		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AF4.srt.dp.rg.bam	ind115
116	DW-Aka15	Aka15	Aka15	Akatsi	coastal_savannah	Roadside	Small urban	Gardening	2	6.13605	0.80506	S	An. gambiae	GS		100	200	5799.037	994.791	5.829402357		LF	111	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Aka15.srt.dp.rg.bam	ind116
117	DW-Asi4	Asi4	Asi4	Asikumah	deciduous_forest	Mixed	Small urban	Gardening	2	5.58017	0.9961	S	An. gambiae	GS		100	200	621.777	796.141	0.780988543		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Asi4.srt.dp.rg.bam	ind117
118	134-DW-NeA-66	NeA.66	NeA.66	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	M	An. gambiae	GG	N	NA	NA	179.367	3186.101	0.056296709		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/134-DW-NeA-66.srt.dp.rg.bam	ind118
119	188-DW-NeA-19	NeA.19	NeA.19	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	GG	N	NA	NA	246.306	3275.208	0.075203163		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/188-DW-NeA-19.srt.dp.rg.bam	ind119
120	DW-Dod8	Dod8	Dod8	Dodowa	deciduous_forest	Farm road	Small urban	Vegefarm	3	5.89816	0.1012	S	An. gambiae	GS		100	200	591.026	649.061	0.910586216		FF	222	222	NY	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dod8.srt.dp.rg.bam	ind120
121	7-DW-Suh19	Suh19	Suh19	Suhum	deciduous_forest	Gutter	Small urban	Gardening	2	6.03496	0.457608	S	An. gambiae	GG		100	100	22.934	2478.983	0.009251374		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/7-DW-Suh19.srt.dp.rg.bam	ind121
122	DW-Dod9	Dod9	Dod9	Dodowa	deciduous_forest	Farm road	Small urban	Vegefarm	3	5.89816	0.1012	S	An. gambiae	GS		100	200	808.052	1034.052	0.781442326		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dod9.srt.dp.rg.bam	ind122
123	DW-Enc22	Enc22	Enc22	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	5	5.8232	2.822917	M				NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc22.srt.dp.rg.bam	ind123
124	120-DW-AnB-5	AnB.5	AnB.5	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	M	An. gambiae	GG	N	NA	NA	181.82	2827.868	0.064295787		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/120-DW-AnB-5.srt.dp.rg.bam	ind124
125	9-DW-Tar2	Tar2	Tar2	Tarkwa	rainforest	Gutter	Urban	Commercial mining	1	5.31382	1.99232	M	An. gambiae	GG		100	100	28.99	1980.996	0.014634053		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/9-DW-Tar2.srt.dp.rg.bam	ind125
126	24-DW-Tak8	Tak8	Tak8	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GG		100	100	25.614	2228.879	0.011491876		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/24-DW-Tak8.srt.dp.rg.bam	ind126
127	46-DW-TP10	TP10	TP10	Twifo Praso	rainforest	Gutter	Small urban	Gardening	2	5.6076	1.5458	M	An. gambiae	GG		100	100	24.222	1572.693	0.015401607		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/46-DW-TP10.srt.dp.rg.bam	ind127
128	56-DW-WE9	WE9	WE9	Wassa Essaman	rainforest	Roadside	Rural	Gardening	2	5.350084	1.678	S	An. gambiae	GG		100	100	15.229	1759.825	0.008653701		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/56-DW-WE9.srt.dp.rg.bam	ind128
129	76-DW-Mad61	Mad61	Mad61	Madina	coastal_savannah	Roadside	Urban	Gardening	13	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/76-DW-Mad61.srt.dp.rg.bam	ind129
130	DW-AF3	AF3	AF3	Assin Foso	deciduous_forest	Gutter	Small urban	Gardening	2	5.6936	1.2733	S	An. gambiae	SS		200	200	777.778	52.878	14.70891486		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AF3.srt.dp.rg.bam	ind130
131	DW-Ash6	Ash6	Ash6	Ashaiman	coastal_savannah	Farm road	Small urban	Vegefarm	3	5.6953	0.05237	M	An. gambiae	GS		100	200	998.705	1210.597	0.824969003		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Ash6.srt.dp.rg.bam	ind131
132	84-DW-Mad69	Mad69	Mad69	Madina	coastal_savannah	Roadside	Urban	Gardening	21	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/84-DW-Mad69.srt.dp.rg.bam	ind132
133	DW-AdF19	AdF19	AdF19	Ada Foah	mangrove_swamp	Mixed	Small urban	Vegefarm	3	5.8035	0.6641	M	An. gambiae	GS		100	200	698.243	1480.147	0.471738956		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AdF19.srt.dp.rg.bam	ind133
134	149-DW-AnB-50	AnB.50	AnB.50	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	NA	NA	M	An. gambiae	GS	D	NA	NA	6406.426	2018.054	3.17455628			NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/149-DW-AnB-50.srt.dp.rg.bam	ind134
135	175-DW-NeA-16	NeA.16	NeA.16	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	M	An. gambiae	GG	N	NA	NA	218.752	3025.83	0.072294874		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/175-DW-NeA-16.srt.dp.rg.bam	ind135
136	DW-Ash12	Ash12	Ash12	Ashaiman	coastal_savannah	Farm road	Small urban	Vegefarm	3	5.6953	0.05237	M	An. gambiae	GS		100	200	590.703	1688.305	0.349879317		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Ash12.srt.dp.rg.bam	ind136
137	DW-Bog10	Bog10	Bog10	Bogoso	rainforest	Roadside	Urban	Commercial mining	1	5.56853	2.0026	M	An. gambiae	GG		100	100	43.508	2163.242	0.020112405		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Bog10.srt.dp.rg.bam	ind137
138	22-DW-Tak6	Tak6	Tak6	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GS		100	200	773.811	1699.914	0.455205969		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/22-DW-Tak6.srt.dp.rg.bam	ind138
139	3-DW-Suh7	Suh7	Suh7	Suhum	deciduous_forest	Gutter	Small urban	Gardening	2	6.03496	0.457608	S	An. gambiae	GS		100	200	802.508	819.942	0.97873752		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/3-DW-Suh7.srt.dp.rg.bam	ind139
140	DW-Anl17	Anl17	Anl17	Anloga	mangrove_swamp	Farm road	Small urban	Vegefarm	3	5.7863	0.86514	M	An. gambiae	GS		100	200	808.575	520.126	1.554575238		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Anl17.srt.dp.rg.bam	ind140
141	DW-Nsa13	Nsa13	Nsa13	Nsawan	deciduous_forest	Refuse damp	Small urban	Gardening	2	5.81674	0.3539	M	An. gambiae	GG		100	100	65.494	2258.966	0.028992911		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nsa13.srt.dp.rg.bam	ind141
142	125-DW-AnB-10	AnB.10	AnB.10	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	M	An. gambiae	GG	N	NA	NA	187.466	2908.767	0.064448613		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/125-DW-AnB-10.srt.dp.rg.bam	ind142
143	DW-Dzo13	Dzo13	Dzo13	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	S	An. gambiae	GS		100	200	802.573	921.237	0.871190584		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo13.srt.dp.rg.bam	ind143
144	DW-Kof23	Kof23	Kof23	Koforidua	deciduous_forest	Roadside	Urban	Gardening	2	6.15469	0.27029	S	An. gambiae	GS		100	200	725.485	748.994	0.968612566		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Kof23.srt.dp.rg.bam	ind144
145	165-DW-DoM-50	DoM.50	DoM.50	Bantama-Kumasi	deciduous_forest	Puddle			NA	6.4615	-1.8929	M	An. gambiae	GG	N	NA	NA	337.735	2837.758	0.119014729		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/165-DW-DoM-50.srt.dp.rg.bam	ind145
146	75-DW-Mad60	Mad60	Mad60	Madina	coastal_savannah	Roadside	Urban	Gardening	12	5.6697	0.1672	S	An. gambiae			NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/75-DW-Mad60.srt.dp.rg.bam	ind146
147	160-DW-DoM-5	DoM.5	DoM.5	Anhiankwanta	deciduous_forest	Gutter			NA	5.9569	-1.7777	M	An. gambiae	GG	N	NA	NA	274.736	2853.797	0.096270337		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/160-DW-DoM-5.srt.dp.rg.bam	ind147
148	114-DW-OBP1-20	OBP20	OBP20	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	9061.039	342.749	26.43636889		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/114-DW-OBP1-20.srt.dp.rg.bam	ind148
149	10-DW-Tar5	Tar5	Tar5	Tarkwa	rainforest	Gutter	Urban	Commercial mining	1	5.31382	1.99232	M	An. gambiae	GG		100	100	26.605	2283.768	0.011649607		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/10-DW-Tar5.srt.dp.rg.bam	ind149
150	DW-Axi2	Axi2	Axi2	Axim	rainforest	Gutter	Urban	Rubber plantation	2	4.86384	2.23924	M	An. gambiae	GG		100	100	31.408	2090.939	0.015021003		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Axi2.srt.dp.rg.bam	ind150
151	100-DW-OBP1-4	OBP04	OBP04	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	7577.071	65.415	115.830788		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/100-DW-OBP1-4.srt.dp.rg.bam	ind151
152	DW-Enc19	Enc19	Enc19	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	2	5.8232	2.822917	M				NA	NA						NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc19.srt.dp.rg.bam	ind152
153	107-DW-OBP1-12	OBP12	OBP12	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	8139.227	74.43	109.354118		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/107-DW-OBP1-12.srt.dp.rg.bam	ind153
154	DW-Nkw4	Nkw4	Nkw4	Nkwanta	rainforest	Roadside	Rural	Cocoa plantation	2	5.4156	2.37107	S	An. gambiae	GG		100	100	25.907	1021.367	0.025365026		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Nkw4.srt.dp.rg.bam	ind154
155	DW-AgD34	AgD34	AgD34	Agona Dunkwa	deciduous_forest	Gutter	Rural	Gardening	2	5.6338	0.72805	S	An. gambiae	GS		100	200	805.014	993.247	0.81048722		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AgD34.srt.dp.rg.bam	ind155
156	DW-Dzo2	Dzo2	Dzo2	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	M	An. gambiae	GS		100	200	790.238	887.58	0.890328759		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo2.srt.dp.rg.bam	ind156
157	108-DW-OBP1-13	OBP13	OBP13	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	GS	D	NA	NA	6802.669	968.903	7.02100107		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/108-DW-OBP1-13.srt.dp.rg.bam	ind157
158	146-DW-NeA-55	NeA.55	NeA.55	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	S	An. gambiae	GG	N	NA	NA	1803.865	2862.442	0.630183948		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/146-DW-NeA-55.srt.dp.rg.bam	ind158
159	158-DW-DoM-3	DoM.3	DoM.3	Anhiankwanta	deciduous_forest	Gutter			NA	5.9569	-1.7777	M	An. gambiae	GG	N	NA	NA	253.981	3429.814	0.074050954		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/158-DW-DoM-3.srt.dp.rg.bam	ind159
160	57-DW-WE11	WE11	WE11	Wassa Essaman	rainforest	Roadside	Rural	Gardening	2	5.350084	1.678	S	An. gambiae	GG		100	100	15.792	1942.371	0.00813027		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/57-DW-WE11.srt.dp.rg.bam	ind160
161	18-DW-Tak2	Tak2	Tak2	Takoradi	coastal_savannah	Roadside	Urban	Gardening	2	4.91081	1.75443	M	An. gambiae	GS		100	200	610.67	1979.324	0.308524527		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/18-DW-Tak2.srt.dp.rg.bam	ind161
162	131-DW-AnB-16	AnB.16	AnB.16	Bantama-Kumasi	deciduous_forest	Roadside puddle			NA	6.4642	-1.6436	S	An. gambiae	GG	N	NA	NA	252.994	3030.064	0.083494606		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/131-DW-AnB-16.srt.dp.rg.bam	ind162
163	112-DW-OBP1-18	OBP18	OBP18	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	8766.02	89.576	97.86125748		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/112-DW-OBP1-18.srt.dp.rg.bam	ind163
164	DW-Dzo14	Dzo14	Dzo14	Dzorwulu	coastal_savannah	Farm road	Urban	Vegefarm	3	5.60499	0.20592	M	An. gambiae	GG		100	100	57.82	2020.355	0.028618733		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Dzo14.srt.dp.rg.bam	ind164
165	187-DW-NeA-18	NeA.18	NeA.18	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	S	An. gambiae	GS	D	NA	NA	8745.263	1253.946	6.974194264		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/187-DW-NeA-18.srt.dp.rg.bam	ind165
166	105-DW-OBP1-9	OBP09	OBP09	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	7806.951	59.384	131.4655631		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/105-DW-OBP1-9.srt.dp.rg.bam	ind166
167	DW-Mam9	Mam9	Mam9	Mamprobi	coastal_savannah	Farm road	Urban	Vegefarm	3	5.541	0.2377	M	An. gambiae	GS		100	200	455.037	1148.769	0.396108356		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Mam9.srt.dp.rg.bam	ind167
168	DW-Aka22	Aka22	Aka22	Akatsi	coastal_savannah	Roadside	Small urban	Gardening	2	6.13605	0.80506	S	An. gambiae	GG		100	100	193.52	2358.288	0.082059528		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Aka22.srt.dp.rg.bam	ind168
169	178-DW-NeA-23	NeA.23	NeA.23	New-Edubiase	deciduous_forest	Gutter			NA	6.0597	-1.3937	M	An. gambiae	GG	N	NA	NA	1602.516	2805.271	0.571251761		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/178-DW-NeA-23.srt.dp.rg.bam	ind169
170	109-DW-OBP1-14	OBP14	OBP14	Dunkwa-on-Offin	deciduous_forest	Mixed	Urban		NA	6.1986	-1.6569	S	An. gambiae	SS	D	NA	NA	11083.807	305.113	36.326892		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/109-DW-OBP1-14.srt.dp.rg.bam	ind170
171	32-DW-Tub8	Tub8	Tub8	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	M	An. gambiae	GS		100	200	688.195	1412.463	0.487230462		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/32-DW-Tub8.srt.dp.rg.bam	ind171
172	DW-AF26	AF26	AF26	Assin Foso	deciduous_forest	Gutter	Small urban	Gardening	2	5.6936	1.2733	M	An. gambiae	GG		100	100	2590.97	2590.97	1		FF	222	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-AF26.srt.dp.rg.bam	ind172
173	30-DW-Tub6	Tub6	Tub6	Tuba	coastal_savannah	Farm road	Urban	Vegefarm	3	5.5131	0.3867	S	An. gambiae	GS		100	200	242.845	1627.847	0.149181711		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/30-DW-Tub6.srt.dp.rg.bam	ind173
174	139-DW-NeA-87	NeA.87	NeA.87	New-Edubiase	deciduous_forest	Roadside puddle			NA	6.2464	-1.5041	M	An. gambiae	GG	N	NA	NA	257.581	3381.422	0.076175349		FF	NA	NA		/export/projects/III-data/lamberton/tdd3v/anopheles/bam/139-DW-NeA-87.srt.dp.rg.bam	ind174
175	DW-Asi11	Asi11	Asi11	Asikumah	deciduous_forest	Mixed	Small urban	Gardening	2	5.58017	0.9961	S	An. gambiae	GS		100	200	821.313	756.74	1.085330497		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Asi11.srt.dp.rg.bam	ind175
176	DW-Enc12	Enc12	Enc12	Enchi	rainforest	Farm road	Small urban	Cocoa plantation	2	5.8232	2.822917	M	An. gambiae	GG		100	100	35.58	2656.02	0.013395983		LF	111	222	NN	/export/projects/III-data/lamberton/tdd3v/anopheles/bam/DW-Enc12.srt.dp.rg.bam	ind176
